# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (5.519353e+00 1.260026e+00 -1.319439e-21)) ((0.000000e+00 0.000000e+00 0.000000e+00) (-6.300128e-01 2.759677e+00 3.660466e-01))
50            	((-1.474588e+02 2.744761e+03 5.449061e-19) (1.275748e+01 2.130385e+00 9.232627e-21)) ((-1.372381e+03 -7.372942e+01 1.141516e+03) (-1.065192e+00 6.378740e+00 -1.288357e+00))
100           	((-1.511067e+02 2.638812e+03 6.984735e-19) (1.325886e+01 2.672288e+00 9.046712e-21)) ((-1.319406e+03 -7.555335e+01 1.077425e+03) (-1.336144e+00 6.629429e+00 -1.165687e+00))
150           	((-1.290052e+02 2.634172e+03 7.225963e-19) (1.431052e+01 2.619004e+00 6.889732e-21)) ((-1.317086e+03 -6.450262e+01 1.090487e+03) (-1.309502e+00 7.155260e+00 -1.324483e+00))
200           	((-1.196163e+02 2.637888e+03 7.300634e-19) (1.484759e+01 2.576260e+00 6.505467e-21)) ((-1.318944e+03 -5.980817e+01 1.099379e+03) (-1.288130e+00 7.423797e+00 -1.407738e+00))
250           	((-1.153289e+02 2.641003e+03 7.312370e-19) (1.511648e+01 2.557918e+00 6.412374e-21)) ((-1.320501e+03 -5.766444e+01 1.104338e+03) (-1.278959e+00 7.558239e+00 -1.446492e+00))
300           	((-1.135313e+02 2.642691e+03 7.299239e-19) (1.525875e+01 2.552046e+00 6.411327e-21)) ((-1.321345e+03 -5.676565e+01 1.106728e+03) (-1.276023e+00 7.629375e+00 -1.465070e+00))
350           	((-1.129235e+02 2.643868e+03 7.278930e-19) (1.533820e+01 2.550644e+00 6.434816e-21)) ((-1.321934e+03 -5.646174e+01 1.107924e+03) (-1.275322e+00 7.669098e+00 -1.474723e+00))
400           	((-1.128404e+02 2.644871e+03 7.259288e-19) (1.538391e+01 2.550662e+00 6.460975e-21)) ((-1.322436e+03 -5.642020e+01 1.108579e+03) (-1.275331e+00 7.691956e+00 -1.479987e+00))
450           	((-1.129375e+02 2.645688e+03 7.243754e-19) (1.541024e+01 2.551030e+00 6.481982e-21)) ((-1.322844e+03 -5.646877e+01 1.108958e+03) (-1.275515e+00 7.705120e+00 -1.482904e+00))
500           	((-1.130605e+02 2.646274e+03 7.233000e-19) (1.542507e+01 2.551411e+00 6.496313e-21)) ((-1.323137e+03 -5.653027e+01 1.109175e+03) (-1.275706e+00 7.712533e+00 -1.484502e+00))
